client_id	phone	fio	address
m1395827402	+79291234567	Петров А.Б.	г. Москва, Улица Ленина, д. 1 кв. 23
m2284039583	+79297654321	Иванов В.Г.	\N
m3049382749	+79164039250	Сергеева В.В.	г. Москва, Улица Пушкина, д. 5 кв. 11
m6499113793	+79164559537	Андреев Е. А.	г. Москва, Спортивная улица, д. 19 кв. 127
m3797725890	+79267681611	Гусев О. Р.	г. Москва, Бауманская улица, д. 19 кв. 382
m4044840314	+79264248306	Волков П. З.	г. Москва, Алтайская улица, д. 67 кв. 225
m3665791713	+79267497729	Михайлова О. С.	г. Москва, Спокойная улица (деревня Ожигово), д. 60 кв. 50
m9849662126	+79163160514	Фёдоров . И.	г. Москва, Аминьевский мост, д. 41 кв. 160
m8381154247	+79267157887	Гусев А. О.	г. Москва, 3-я Барышевская улица (город Щербинка), д. 38 кв. 393
m3806153775	+79262228219	Белов М. П.	г. Москва, 2-я Барышевская улица (город Щербинка), д. 89 кв. 408
m2627954599	+79264712895	Семёнов . Е.	г. Москва, 2-я Бауманская улица, д. 27 кв. 457
m1903152197	+79033676781	Беляев Д. М.	г. Москва, Аминьевский мост, д. 23 кв. 288
m6818240056	+79267683228	Кузьмин В. Е.	г. Москва, 2-я Барышевская улица (город Щербинка), д. 6 кв. 10
m7858752560	+79162276639	Павлова С. А.	г. Москва, Станционная улица (поселок станции Крекшино), д. 7 кв. 225
m8858291544	+79261603874	Ильин Г. Г.	г. Москва, Старобитцевская улица, д. 21 кв. 266
m5954784771	+79033489671	Макаров А. Г.	г. Москва, Спортивная улица (деревня Верхнее Валуево), д. 27 кв. 269
m7968719863	+79168214996	Титов А. В.	г. Москва, Спортивная улица (дачный поселок Кокошкино), д. 15 кв. 181
m8221098579	+79161377315	Петрова Е. Н.	г. Москва, Спокойная улица (деревня Ожигово), д. 26 кв. 75
m1508734406	+79166444320	Степанова К. О.	г. Москва, Басманный переулок, д. 81 кв. 240
m6106263480	+79037050011	Виноградов Н. З.	г. Москва, Средний проезд (хутор Брехово), д. 11 кв. 241
m5821665594	+79161348475	Михайлова . И.	г. Москва, Батайская улица, д. 16 кв. 17
m5589174211	+79035948546	Воробьёв А. К.	\N
m5978778380	+79164891090	Михайлов Ж. Е.	г. Москва, Стандартная улица, д. 19 кв. 191
m5760952817	+79038535498	Тарасов Е. П.	г. Москва, 1-й Амбулаторный проезд, д. 57 кв. 49
m5001186730	+79035613925	Куликов З. Е.	г. Москва, Старая площадь, д. 83 кв. 98
m8539570796	+79034898258	Михайлова Ж. Д.	г. Москва, Амурская улица, д. 12 кв. 396
m4773699305	+79164208381	Семёнов Д. Н.	г. Москва, Спортивная улица, д. 71 кв. 334
m1524859392	+79266230249	Степанов З. Ж.	г. Москва, Алтуфьевское шоссе, д. 59 кв. 104
m8106179668	+79265014644	Степанов Л. М.	\N
m3112155040	+79169274974	Петров Ж. Е.	г. Москва, Улица Сретенка, д. 17 кв. 395
