event_date	account_out	account_in	value
2020-05-07 12:30:28	40101810045258438293	40101810045250011963	11000.00
2020-05-21 12:07:35	40101810045250010041	40101810045250011152	15000.00
2020-05-06 04:54:23	40101810045250006424	40101810045250009517	93499.00
2020-05-05 23:55:29	40101810045250002722	40101810045250001764	216190.00
2020-05-27 10:53:29	40101810045250009683	40101810045250007782	103456.00
2020-05-10 02:11:41	40101810045250005633	40101810045250008483	20789.00
2020-05-20 03:29:29	40101810045250006547	40101810045250001315	125084.00
2020-05-21 18:20:16	40101810045250005856	40101810045250006837	99469.00
2020-05-09 01:42:47	40101810045250007776	40101810045250008454	157497.00
2020-05-17 03:23:58	40101810045250002471	40101810045250009543	7905.00
2020-05-21 02:01:05	40101810045250003098	40101810045250008918	275161.00
2020-05-25 22:29:29	40101810045250004072	40101810045250001801	103643.00
2020-05-29 19:36:07	40101810045250003149	40101810045250002728	37145.00
2020-05-22 21:02:28	40101810045250007588	40101810045250006079	41105.00
2020-05-13 12:25:27	40101810045250003918	40101810045250003127	237872.00
2020-05-27 18:30:02	40101810045250007605	40101810045250009997	277845.00
2020-05-08 17:02:21	40101810045250009473	40101810045250006926	9485.00
2020-05-12 20:31:03	40101810045250008651	40101810045250007923	260174.00
2020-05-18 09:46:32	40101810045250007198	40101810045250007223	213231.00
2020-05-07 02:24:16	40101810045250003545	40101810045250004280	117915.00
2020-05-05 00:55:35	40101810045250008539	40101810045250008636	255509.00
2020-05-29 22:29:13	40101810045250005173	40101810045250003095	104376.00
2020-05-05 13:00:14	40101810045250005580	40101810045250001131	69494.00
2020-05-27 08:21:42	40101810045250005150	40101810045250002390	244785.00
2020-05-24 06:37:06	40101810045250002198	40101810045250004904	149497.00
2020-05-26 16:02:17	40101810045250002635	40101810045250008433	15449.00
2020-05-24 04:14:28	40101810045250009901	40101810045250009444	27019.00
2020-05-04 15:37:13	40101810045250003296	40101810045250008256	274153.00
2020-05-29 06:37:52	40101810045250003618	40101810045250002150	103608.00
2020-05-16 15:58:13	40101810045250003927	40101810045250001179	19066.00
2020-05-28 19:33:41	40101810045250007133	40101810045250009614	62336.00
2020-05-24 08:21:57	40101810045250009746	40101810045250006059	201317.00
2020-05-09 11:12:40	40101810045250005595	40101810045250003836	61195.00
2020-05-21 13:01:00	40101810045250003687	40101810045250006085	205644.00
2020-05-09 23:11:32	40101810045250004412	40101810045250009983	264287.00
2020-05-07 21:52:16	40101810045250006665	40101810045250007016	251394.00
2020-05-17 22:00:36	40101810045250004505	40101810045250002759	147791.00
2020-05-06 18:53:10	40101810045250003848	40101810045250009393	277425.00
2020-05-11 06:56:13	40101810045250008775	40101810045250005588	188077.00
2020-05-17 15:19:00	40101810045250004177	40101810045250009774	137507.00
2020-05-27 15:20:56	40101810045250003732	40101810045250007604	192228.00
2020-05-17 04:12:06	40101810045250006762	40101810045250007351	14088.00
2020-05-15 18:03:12	40101810045250005480	40101810045250005230	209753.00
2020-05-26 06:27:42	40101810045250006013	40101810045250009032	236304.00
2020-05-26 07:22:06	40101810045250002840	40101810045250004734	150330.00
2020-05-12 16:12:02	40101810045250009704	40101810045250005250	220745.00
2020-05-03 00:11:27	40101810045250001742	40101810045250003149	51660.00
2020-05-22 11:04:19	40101810045250008063	40101810045250007664	21301.00
2020-05-20 11:26:23	40101810045250009013	40101810045250007798	201648.00
2020-05-29 19:50:24	40101810045250004828	40101810045250002763	267586.00
2020-05-26 05:18:56	40101810045250002588	40101810045250002397	172894.00
2020-05-22 10:40:34	40101810045250006803	40101810045250005070	195049.00
2020-05-05 11:32:28	40101810045250009602	40101810045250004618	205898.00
2020-05-29 17:26:29	40101810045250006011	40101810045250002041	190285.00
2020-05-18 12:59:17	40101810045250007826	40101810045250002725	163296.00
2020-05-15 18:45:47	40101810045250001741	40101810045250007050	206782.00
2020-05-30 09:13:48	40101810045250003502	40101810045250008625	247516.00
2020-05-02 03:03:40	40101810045250006392	40101810045250004060	39076.00
